LATITUDE,LONGITUDE,AGE,CU
34.08,139.52,-0.000135,109.0
34.08,139.52,-0.000366,147.0
34.15,139.55,-4.7e-05,142.0
34.15,139.55,-4.7e-05,142.0
34.15,139.55,-4.7e-05,142.0
34.08,139.53,-6.9e-05,117.0
33.13,139.77,1.305,169.0
34.08,139.52,-0.000246,134.0
31.8742,141.227,12.8,56.0
13.09,146.08,50.0,10.0
14.0703,145.112,28.45,78.2
14.0703,145.112,28.45,83.6
34.08,139.52,-0.00047400000000000003,96.0
34.75,139.42,1.305,307.0
30.861,141.314,12.312000000000001,6.663239999999999
30.861,141.314,12.312000000000001,16.1125
34.08,139.52,-0.000135,119.0
34.08,139.52,-0.000246,122.0
34.08,139.52,-2.6000000000000002e-05,139.0
31.47,140.03,1.305,203.2
34.75,139.42,1.305,410.0
33.13,139.77,1.305,186.0
31.5,140.0,1.305,117.6
34.08,139.52,-0.000246,141.0
34.08,139.52,-0.000366,145.0
34.75,139.42,1.305,246.0
34.08,139.52,-4.7e-05,142.1
34.9844,139.13299999999998,-2e-05,10.0
34.75,139.42,1.305,286.0
34.08,139.52,-0.000246,134.0
34.08,139.53,-6.9e-05,38.0
12.73,145.48,50.0,5.0
31.5,140.0,1.305,136.9
13.09,146.08,50.0,3.0
34.15,139.55,-4.7e-05,138.0
34.08,139.52,-0.000297,49.0
17.9022,144.734,1.305,70.0
31.47,140.03,1.305,158.3
34.75,139.42,1.305,157.0
34.08,139.53,-6.9e-05,118.0
34.08,139.53,-6.9e-05,98.0
34.08,139.52,-0.000366,153.0
34.75,139.42,1.305,279.0
34.15,139.55,-4.7e-05,143.0
34.08,139.52,-9e-06,142.0
14.0852,145.111,28.45,56.9
14.0852,145.111,28.45,65.8
34.08,139.53,-6.9e-05,144.0
34.08,139.52,-0.000366,156.0
34.08,139.52,-0.000135,125.2
33.13,139.77,1.305,113.0
34.08,139.52,-0.000135,130.0
34.15,139.55,-4.7e-05,140.0
34.08,139.52,-0.00054,121.0
27.5,140.5,-3.6e-05,147.0
13.09,146.08,50.0,5.0
34.15,139.55,-4.7e-05,137.0
34.08,139.52,-0.00047400000000000003,118.0
31.5,140.0,1.305,152.0
34.15,139.55,-6.9e-05,139.0
34.15,139.55,-6.9e-05,139.0
34.15,139.55,-6.9e-05,139.0
34.08,139.52,-0.000414,122.0
34.15,139.55,-4.7e-05,136.0
33.13,139.77,1.305,187.0
34.08,139.52,-0.000366,159.0
34.08,139.52,-0.00054,123.0
33.13,139.77,1.305,136.0
34.08,139.52,-0.000135,36.0
34.08,139.52,-0.000297,163.0
34.15,139.55,-4.7e-05,139.0
29.793000000000003,140.342,0.0049,541.73
34.08,139.53,-6.9e-05,114.0
34.08,139.53,-6.9e-05,111.0
34.08,139.52,-0.000135,133.0
34.08,139.52,-9e-06,90.0
34.15,139.55,-4.7e-05,146.0
31.5,140.0,1.305,168.1
34.75,139.42,1.305,250.0
33.13,139.77,1.305,220.0
34.75,139.42,1.305,113.0
13.09,146.08,50.0,9.0
31.5,140.0,1.305,114.1
34.15,139.55,-4.7e-05,138.0
34.08,139.52,-0.000135,118.0
33.13,139.77,1.305,179.0
34.08,139.52,-0.000135,138.0
34.08,139.52,-0.000366,125.0
34.08,139.52,-0.000366,162.0
34.08,139.52,-0.000366,120.0
34.08,139.52,-0.000246,141.0
34.08,139.52,-2.6000000000000002e-05,150.0
34.08,139.52,-0.000246,137.0
33.13,139.77,1.305,173.0
29.1779,140.71,28.45,45.4
