SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	METHOD	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	CU
ODP0124-0769C-003R-002/041-043		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		48
ODP0124-0769C-004R-005/009-015		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		31
ODP0124-0769C-005R-005/022-025		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	BASALTIC ANDESITE		43
ODP0124-0769C-007R-001/108-112		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	BASALTIC ANDESITE		46
ODP0124-0769C-009R-003/116-120		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		35
ODP0124-0769C-009R-004/046-049		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.7853	121.295	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		28
VEM0036-019-001		PETDB	HICKEY-VARGAS, R; BIZIMIS, M; DESCHAMPS, A, 2008	VEM0036-19	20.4	121.467	0.001				ICPMS	IGNEOUS	PLUTONIC	MAFIC	GABBRO		22.9
VEM0036-019-002		PETDB	HICKEY-VARGAS, R; BIZIMIS, M; DESCHAMPS, A, 2008	VEM0036-19	20.4	121.467	0.001				ICPMS	IGNEOUS	VOLCANIC	MAFIC	BASALT		9.1
ODP0124-0767C-012R-0CC/026-028		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	4.7917	123.504	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		71
ODP0124-0767C-012R-0CC/036-039		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	4.7917	123.504	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		28
ODP0124-0770B-016R-004/084-807		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		63
ODP0124-0770B-017R-003/134-137		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		64
ODP0124-0770B-019R-001/099-102		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		76
ODP0124-0770B-019R-002/042-045		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		78
ODP0124-0770B-020R-002/102-105		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		80
ODP0124-0770B-020R-003/010-015		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		74
ODP0124-0770B-020R-004/135-140		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		93
ODP0124-0770B-021R-001/096-099		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.668	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		73
