LATITUDE,LONGITUDE,AGE,CU
23.5,119.4,12.8,57.0
35.0,132.0,8.04e-05,28.0
25.5,122.0,32.75,17.7
34.5,131.8,60.65,6.0
35.2,134.6,1.305,62.2
24.92,121.43,14.15,54.0
35.5,136.8,173.55,45.0
35.35,138.73,-0.000302,69.0
34.8,136.0,105.5,1.0
32.6,129.4,11.5,30.0
23.85,120.76700000000001,1.305,52.0
23.07,120.38,14.15,27.0
25.0,118.9,82.55,1.9
35.5,136.8,275.0,38.0
25.48,122.1,3.95,47.3
25.0,120.0,1.305,33.9
34.5,131.8,60.65,1.0
35.0,136.2,275.0,66.0
32.6,129.4,11.5,71.6
25.48,122.1,1.3,36.5
34.0,130.0,1.305,19.0
35.35,138.73,-0.000302,68.0
33.5,134.0,158.25,69.0
35.0,136.0,275.0,40.0
22.97,121.3,12.8,124.0
15.1892,120.486,-1.8e-05,28.0
34.5,131.8,60.65,3.0
35.4,133.0,13.8,33.0
34.0,130.0,87.0,1.5
35.5,136.8,275.0,126.0
33.0,130.0,32.75,30.0
24.83,121.33,14.15,41.0
35.5,136.8,173.55,48.0
34.7,135.6,275.0,62.0
32.6,129.4,11.5,33.1
35.2,134.6,1.305,2.5
35.2,134.6,1.305,5.2
32.6,129.4,11.5,36.7
33.5,130.5,105.5,164.0
35.35,138.73,-0.000302,53.0
34.5,131.8,60.65,22.0
23.85,120.76700000000001,1.305,78.0
35.0,136.0,275.0,32.0
32.6,129.4,11.5,42.7
32.2,130.3,158.25,21.1
33.0,130.0,32.75,6.0
22.97,121.3,12.8,42.0
34.0,130.0,87.0,2.7
32.75,130.3,-1.6e-05,14.0
34.5,131.8,60.65,0.6
34.5,131.8,60.65,3.0
34.5,131.8,60.65,2.0
35.5,136.0,105.5,2.0
33.5,130.5,105.5,7.0
33.0,130.0,32.75,29.0
35.0,136.0,275.0,76.0
1.3167,124.9,3.0,74.0
35.2,134.6,1.305,3.6
23.58,119.5,12.8,66.0
34.0,130.0,87.0,3.6
23.58,119.5,12.8,65.0
15.5717,116.15799999999999,5.855,42.0
25.03,121.67,12.8,21.0
23.85,120.76700000000001,1.305,81.0
33.5,130.5,105.5,14.0
31.4,130.5,271.0,35.0
32.2,130.3,158.25,20.0
34.38,134.12,82.9,5.0
33.0,130.0,32.75,40.0
35.38,138.7,0.0555,54.0
34.5,131.8,60.65,15.0
35.0,132.0,8.340000000000001e-05,41.0
35.5,136.8,173.55,64.0
15.1892,120.486,-1.8e-05,50.0
34.0,130.0,87.0,1.9
33.5,130.5,105.5,13.0
35.2,137.0,105.5,2.0
25.0,120.0,3.95,45.5
32.6,129.4,11.5,15.2
15.13,120.35,-1.8e-05,89.0
25.0,118.9,82.55,1.89
35.4,133.0,13.8,32.0
15.13,120.35,0.0006360000000000001,37.0
35.2,134.6,1.305,5.4
22.97,121.3,12.8,25.0
33.0,130.0,32.75,32.0
33.5,134.0,158.25,46.0
33.5,130.5,105.5,15.0
33.5,134.0,158.25,19.0
15.0511,120.289,-1.8e-05,81.0
35.0,132.0,8.04e-05,9.0
32.6,129.4,11.5,67.7
34.8,136.0,82.5,2.0
32.75,130.3,-1.4000000000000001e-05,10.0
23.58,119.5,12.8,74.0
35.1167,135.833,1.305,63.0
25.0,120.0,1.305,34.8
23.85,120.76700000000001,1.305,70.0
15.13,120.35,-1.8e-05,100.0
26.3,126.7,3.95,55.0
33.8,134.2,158.25,34.0
34.5,131.8,60.65,12.0
32.6,129.4,11.5,38.5
35.35,138.73,-0.000302,40.0
23.07,120.38,14.15,36.0
35.35,138.73,-0.000302,74.0
35.35,138.73,-0.000302,54.0
33.5,130.5,105.5,19.0
25.0,118.9,82.55,1.37
23.58,119.5,12.8,70.0
33.5,130.5,105.5,25.0
35.38,138.7,0.0555,123.0
35.0,136.0,275.0,45.0
35.4,133.0,13.8,23.0
35.0,136.0,275.0,31.0
33.5,130.5,105.5,29.0
32.6,129.4,11.5,62.3
33.0,130.0,32.75,30.0
35.5,136.8,173.55,49.0
34.8,136.0,105.5,20.0
25.48,122.1,1.3,32.1
33.5,130.5,105.5,51.0
35.35,138.73,-0.000302,147.0
35.0,136.2,275.0,149.0
35.4,133.0,13.8,18.0
33.8,134.2,158.25,136.0
24.82,121.1,14.15,54.0
32.6,129.4,11.5,11.0
32.6,129.4,11.5,69.9
24.8,121.17,11.0,69.0
24.5,124.0,44.85,22.0
34.0,130.0,87.0,10.8
35.35,138.73,-0.000302,75.0
33.0,130.0,32.75,2.0
22.97,121.3,12.8,34.0
32.2,130.3,158.25,38.0
25.0,120.0,3.95,18.7
31.0,130.0,12.8,23.0
35.0,136.5,1.305,12.0
34.5,131.8,60.65,6.0
34.5,131.8,60.65,42.0
35.2,134.6,1.305,2.6
32.6,129.4,11.5,20.8
24.83,121.33,14.15,44.0
33.5,130.5,105.5,4.0
33.8,134.2,158.25,87.0
35.35,138.73,-0.000302,79.0
24.8,121.17,11.0,40.0
34.8,136.0,82.5,3.0
32.2,130.3,158.25,69.0
25.03,121.67,12.8,22.0
32.6,129.4,11.5,19.9
35.5,136.8,173.55,42.0
25.93,123.68,3.95,83.0
25.03,121.67,12.8,58.0
32.6,129.4,11.5,45.0
24.83,121.33,14.15,57.0
35.8,137.9,71.1,36.0
34.8,136.0,105.5,4.0
32.8,131.5,158.25,42.0
35.0,136.2,275.0,104.0
33.0,130.0,32.75,4.0
34.5,131.8,60.65,21.0
32.2,130.3,158.25,50.5
35.2,134.6,1.305,4.0
25.0,120.0,1.305,38.5
33.8,134.2,158.25,24.0
24.83,121.33,14.15,63.0
32.2,130.3,158.25,66.4
33.0,130.0,32.75,29.0
34.0,130.0,87.0,2.3
23.58,119.5,12.8,74.0
33.5,130.5,105.5,28.0
33.5,130.5,105.5,64.0
35.5,136.0,105.5,4.0
35.4,133.0,13.8,6.0
25.48,122.1,3.95,39.3
32.72,132.53,16.0,7.2
35.5,136.8,275.0,49.0
33.2,133.5,158.25,27.0
32.6,129.4,11.5,40.8
35.5,136.0,105.5,41.0
32.6,129.4,11.5,28.6
35.35,138.73,-0.000302,114.0
35.5,136.8,275.0,64.0
26.22,125.0,14.15,65.0
22.97,121.3,12.8,29.0
35.38,138.7,0.0555,72.0
15.5717,116.15799999999999,5.855,42.7
34.5,131.8,60.65,59.0
36.4,136.5,132.9,12.0
23.85,120.76700000000001,1.305,41.0
33.5,130.5,105.5,16.0
35.5,136.8,173.55,54.0
35.38,138.7,0.0555,112.0
34.8,136.0,105.5,2.0
22.97,121.3,12.8,49.0
31.0,130.0,12.8,43.0
35.35,138.73,-0.000302,42.0
35.35,138.73,-0.000302,60.0
15.13,120.35,-1.8e-05,22.0
32.2,130.3,158.25,89.2
25.48,122.1,1.3,30.1
34.0,130.0,1.305,38.0
24.83,121.33,14.15,40.0
32.6,129.4,11.5,23.9
23.85,120.76700000000001,1.305,54.0
34.5,131.8,60.65,1.0
23.58,119.5,12.8,74.0
25.0,120.0,1.305,32.4
34.0,130.0,87.0,1.4
33.5,130.5,105.5,62.0
34.0,130.0,1.305,30.0
35.8,136.0,158.25,18.0
33.5,130.5,105.5,50.0
25.0,120.0,1.305,29.8
33.0,130.0,32.75,52.0
26.3,122.3,60.65,44.0
32.75,130.3,-1.7e-05,14.0
35.35,138.73,-0.000302,75.0
23.85,120.76700000000001,1.305,58.0
34.8,136.0,105.5,3.0
35.0,136.0,275.0,121.0
35.4,133.0,13.8,26.0
23.85,120.76700000000001,1.305,45.0
35.5,136.8,173.55,35.0
35.4,133.0,13.8,21.0
25.0,120.0,1.305,31.8
33.0,130.0,32.75,20.0
23.07,120.38,14.15,53.0
32.6,129.4,11.5,35.2
26.3,126.7,3.95,55.0
35.0,136.0,275.0,73.0
32.6,129.4,11.5,35.8
34.8,136.0,105.5,1.0
32.6,129.4,11.5,48.2
35.0,136.2,275.0,137.0
35.4,133.0,13.8,31.0
35.38,138.7,0.0555,83.0
34.8,136.0,105.5,2.0
35.35,138.73,-0.000302,71.0
25.0,120.0,1.305,32.5
35.2,134.6,1.305,8.8
24.83,121.33,14.15,49.0
23.07,120.38,14.15,59.0
35.2,134.6,1.305,64.3
36.0,136.0,14.15,23.0
24.8,121.17,14.15,57.0
32.6,129.4,11.5,66.2
35.35,138.73,-0.000302,199.0
34.5,131.8,60.65,2.0
35.4,133.0,13.8,26.0
32.6,129.4,11.5,32.2
23.85,120.76700000000001,1.305,60.0
24.93,121.37,14.15,56.0
35.2,137.0,72.3,1.0
34.0,130.0,87.0,2.3
35.4,133.0,13.8,26.0
31.0,130.0,12.8,39.0
34.5,131.8,60.65,10.0
36.0,136.0,14.15,15.0
33.0,130.0,32.75,17.0
15.1633,120.325,-1.8e-05,53.0
25.48,122.1,1.3,36.2
35.5,136.8,275.0,84.0
35.0,136.0,275.0,72.0
34.0,130.0,1.305,9.0
25.48,122.1,3.95,39.7
34.0,130.0,87.0,6.4
35.4,133.0,13.8,17.0
33.0,130.0,32.75,29.0
34.8,136.0,105.5,20.0
34.0,130.0,1.305,49.0
35.2,137.0,105.5,2.0
35.35,138.73,-0.000302,65.0
31.0,130.0,12.8,34.0
35.5,136.5,1.305,34.0
33.0,130.0,32.75,27.0
33.0,130.0,32.75,30.0
35.0,136.0,275.0,19.0
15.1633,120.325,-1.8e-05,56.0
34.5,131.8,60.65,17.0
32.2,130.3,158.25,35.0
33.5,130.5,105.5,4.0
25.0,120.0,3.95,102.5
34.0,130.0,87.0,1.2
32.6,129.4,11.5,47.2
16.3433,116.098,5.855,38.9
34.8,136.0,105.5,9.0
25.0,124.0,0.0049,10.0
35.35,138.73,-0.000302,176.0
1.3167,124.9,3.0,106.0
25.15,121.5,3.95,41.6
35.35,138.73,-0.000302,170.0
35.0,136.2,275.0,43.0
35.35,138.73,-0.000302,76.0
34.0,130.0,1.305,20.0
36.0,136.0,14.15,54.0
32.2,130.3,158.25,62.9
35.5,136.8,275.0,17.0
15.168,120.322,-1.8e-05,106.0
35.2,134.6,1.305,56.6
24.83,121.33,14.15,50.0
34.5,131.8,60.65,48.0
24.83,121.33,14.15,44.0
33.0,130.0,32.75,21.0
34.5,131.8,60.65,37.0
