NameDeposit,Includes,OtherNames,Country,CountryCode,StateProvince,LatitudeDecimal,LongitudeDecimal,AgeMY,Deposit Age,Tonnage,Copper grade,Molybdenum grade,Gold grade,Silver grade,Subtype,EmpacementDepthkm,Assoc Deposits less 10km,Assoc Deposits less 5km,DepositID,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,Minerals,RocksInDeposit,RocksOnMap,RocksOnMapInDeposit,DiscoveryDate,StartupDate,OreAAxis,OreBAxis,OreArea,AlterAAxis,AlterBAxis,AlterArea,SulfideAAxis,SulfideBAxis,SulfideArea,Comments,References
Agua  Rica,,Mi Vida,Argentina,AGTN,Catamarca,-27.3708333333333,-66.28,5.5,6–5,1761,0.42,0.033,0.18,3.2,17,2,"17, 22c",25e,323,-27,-22,-15,-66,-16,-48,"actinolite, alunite, andalusite, anhydrite/gypsum, barite, biotite, bornite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, corundum, covellite, enargite, galena, jarosite, kaolinite/illite/dickite, magnetite, marcasite, molybdenite, pyrite, pyrophyllite, rhodochrosite, rutile, smectite, sericite, sphalerite, sulfur, tetrahedrite/tennantite, tourmaline, zunyite ","breccia, dacite porphyry, quartz feldspar porphyry, rhyolite porphyry","basalt, conglomerate, granite, migmatite, syenodiorite","andesite, monzodiorite, schist ",1900,n.d.,0,0,0,4.4,3.8,13.1,0,0,5.7,0.2% Cu cut-off grade. Exposed. Superposition of multistage mineralized breccia. Farallon Negro volcanic region.,"Bargmann, C.J., 2000, Agua Rica prospect, Catamarca Province, Argentina; an example of deposit evaluation based on net smelter return: Institution of Mining and Metallurgy Transactions, v. 109, p. 126–132.

Koukharsky, M., and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwestern Argentina: Economic Geology, v. 71, p. 849–863.

Landtwing, M.R., Dillenbeck, E.D., Leake, M.L., and Heinrich, C.A., 2002, Evolution of the breccia-hosted Cu-Mo-Au deposit at Agua Rica, Argentina: progressive unroofing of a magmatic hydrothermal system: Economic Geology, v. 97, p. 1273–1292.

Northern Orion Resources Inc., 2007, Development projects, Agua Rica, 9 p.: 
http://www.northernorion.com/s/AguaRica.asp   

Perelló, J., Rojas, N., Devaux, C., Fava, L., Etchart, E., and Harman, P., 1998, Discovery of the Agua Rica Porphyry Cu-Mo-Au deposit, Catamarca Province, northwestern Argentina, Part 2. Geology, in Porter, T.M., ed., Porphyry and hydrothermal copper & gold deposits—a global perspective. Conference Proceedings: Australian Mineral Foundation, Glenside, South Australia, p. 119–134.

Roco, R., and Koukharsky, M., 1999, El porfiro cupro-molibdenifero Agua Rica y las manifestationes epitermales asociadas, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1479–1492.

Rojas, N., Perelló, J., Harman, P., Cabello, J., Devaux, C., Fava, L., and Etchart, E., 1998, Discovery of the Agua Rica Porphyry Cu-Mo-Au deposit, Catamarca Province, northwestern Argentina, Part 1. Exploration and discovery, in Porter, T.M., ed., Porphyry and hydrothermal copper & gold deposits—a global perspective. Conference Proceedings: Australian Mineral Foundation, Glenside, South Australia, p. 111–119.

Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18."
Alcaparrosa,,,Argentina,AGTN,San Juan,-31.3,-69.3666666666667,267,267,,0,0,0,0,17,0,n.d.,n.d.,330,-31,-18,,-69,-22,,"biotite, chalcopyrite, pyrite",diorite porphyry,n.d.,n.d.,n.d.,n.d.,0,0,0,0,0,0,0,0,0,,"Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109.

Zappettini, E.O., Godeas, M., and Segal, S., 1999, Mapa metallogenetico de la Republica Argentina, escala 1:2,500,000, 2 fol., in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, v. I and v. II—2172 p."
Arroyo  Chita,,Chita,Argentina,AGTN,San Juan,-30.5,-69.75,12,12,,0,0,0,0,17,0,n.d.,n.d.,328,-30,-30,,-69,-45,,n.d.,andesite porphyry,n.d.,n.d.,n.d.,n.d.,0,0,0,0,0,0,0,0,0,,"Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109.

Zappettini, E.O., Godeas, M., and Segal, S., 1999, Mapa metallogenetico de la Republica Argentina, escala 1:2,500,000, 2 fol., in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, v. I and v. II—2172 p."
Bajo  de  Agua  Tapado ,,,Argentina,AGTN,Catamarca ,-27.2666666666667,-66.65,8.5,11–6,,0,0,0,0,20c ,0,25c (3),22c,320,-27,-16,,-66,-39,,"barite, biotite, calcite, chalcopyrite, chlorite, epidote, galena, magnetite, pyrite, sericite, sphalerite","breccia, dacite porphyry",conglomerate (block and ash flow deposit),"andesite, andesite agglomerate, basalt, monzonite",1940s,n.d.,0,0,0,5.3,1.5,6.2,1.3,1.1,1.1,"Thin veins ≤2.2 g/t Au, 174 g/t Ag. Exposed. Farallon Negro volcanic region.","Alderete, M.C., 1999, Bajo de Agua Tapada, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1475–1478.

Clark, A.H., and Arancibia, O.N., 1996, The occurrence, paragenesis and implications of magnetite-rich alteration-mineralization in calc-alcaline porphyry copper deposits, in  Clark, A.H., ed., Giant ore deposits – II, Department of Geological Sciences, Queen’s University, Kingston, Ontario, p. 583–640.

Harris, A.C., Bryan, S.E., and Holcombe, R.J., 2006, Volcanic setting of the Bajo de la Alumbrera porphyry Cu-Au deposit, Farallón Negro volcanics, Northwest Argentina: Economic Geology, v. 101, p. 71–94.

Koukharsky, M., and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwestern Argentina: Economic Geology, v. 71, p. 849–863.
  
Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18."
Bajo  de  la  Alumbrera ,,,Argentina,AGTN,Catamarca ,-27.3297222222222,-66.6088888888889,7.5,8.02±0.14 to 6.75±0.09,806,0.53,0,0.64,2.5,20c,2.528,"20c (2), 25c (2)",20c,322,-27,-19,-47,-66,-36,-32,"anhydrite/gypsum, apatite, biotite, bornite, chalcocite/digenite, chalcopyrite, chlorite, covellite, epidote, galena, goethite/limonite, gold, hematite/specularite, jarosite, kaolinite/dickite, magnetite, molybdenite, pyrite, sericite, siderite, sphalerite","dacite porphyry, quartz-feldspar porphyry","granite, schist, gneiss","andesite, andesite breccia, conglomerate (block and ash flow deposit) , sandstone, tuff",1949,1997,1.1,0.6,0.52,2.5,1.75,3.4,0,0,0,1999 resources: 767 Mt at 0.51% Cu and 0.64 g/t Au. In concentrate: 8 ppb Pt; 35 ppb Pd. Exposed. Farallon Negro volcanic region.,"Angera, J.A., 1999, Mina Bajo de la Alumbrera, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1451–1461.

Brown, S.C., 2005, A review of the geology and mineralization of the Alumbrera copper-gold deposit, northwestern Argentina, in Porter, T.M., ed., Superporphyry copper and gold deposits: a global perspective: PGC Publishing, Adelaide, v. 1, p. 115–131.

Casaceli, R.J., 1993, The geology and mineral potential of Argentina, in Randol at Acapulco ‘93, Latin American mining opportunities: Golden, Colorado, Randol International, p. 49–66.

Guilbert, J.M., 1995, Geology, alteration, mineralization, and genesis of the Bajo de la Alumbrera porphyry copper-gold deposit, Catamarca Province, Argentina, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 646–656.

Guilbert, J.M., 2000, El yacimiento de cobre y oro de Bajo de la Alumbrera, Argentina: historia, exploracion y desarrollo de modelos geologicos: Primer volumen de monografias de yacimentos minerales Peruanos. Historia, exploration y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p.155–175. 

Harris, A.C., Bryan, S.E., and Holcombe, R.J., 2006, Volcanic setting of the Bajo de la Alumbrera porphyry Cu-Au deposit, Farallón Negro volcanics, Northwest Argentina: Economic Geology, v. 101, p. 71–94.

Muller, D., and Forrestal, P., 1998, The shoshonite porphyry Cu-Au association at Bajo de la Alumbrera, Catamarca province, Argentina: Mineralogy and Petrology, v. 64, p. 47–64. 

Proffett, J.M., 2003, Geology of the Bajo la Alumbrera porphyry copper-gold deposit, Argentina: Economic Geology, v. 98, p. 1535–1574. 

Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8-18.

Sillitoe, R.H., 1981, Regional aspects of the Andean porphyry copper belt in Chile and Argentina: Transactions Institution of Mining and Metallurgy, v. 90, sec. B, p. B15–B36.     

Sillitoe, R.H., 1995, Exploration and discovery of base- and precious-metal deposits in the Circum-Pacific region during the last 25 years, (Bajo de La Alumbrera, p. 21–23): Resource Geology Special Issue No. 19, Published by the Society of Resource Geology, Tokyo, 119 p.   

Tarkian, M., and Stribrny, B., 1999, Platinum-group elements in porphyry copper deposits: a reconnaissance study: Mineralogy and Petrology, v. 65, p. 161–183. 

Ulrich, T., and Heinrich, C.A., 2001, Geology and alteration geochemistry of the porphyry Cu-Au deposit at Bajo de la Alumbrera, Argentina: Economic Geology, v. 96, no. 8, p. 1719–1742.

Ulrich, T., Günther, D., and Heinrich, C.A., 2001, The evolution of a porphyry Cu-Au deposit, based on LA-ICP-MS analysis of fluid inclusions: Bajo de la Alumbrera, Argentina: Economic Geology, v. 96, no. 8, p. 1743–1774."
Bajo  de  la  Leona,,,Argentina,AGTN,Santa Cruz,-48.075,-67.3083333333333,200,200,,0,0,0,0,17,0,,n.d.,708,-48,-4,-30,-67,-18,-30,"azurite/malachite, betekhtinite, bornite, chalcocite, chalcopyrite, covellite, cuprite, delafossite, digenite, electrum, enargite, galena, hematite/specularite, limonite, molybdenite, pyrite, sphalerite, tennantite/tetrahedrite, tenorite","aplite, granodiorite porphyry","basalt, volcanoclasics","granite, granodiorite",,n.d.,0,0,0,0,0,0,0,0,0,"Average grades: 1.71% Cu, 26.1 g/t Ag.","Cunningham, C.G., Singer, D.A., Zappetini, E.O., and others, 2007, A preliminary quantitative mineral resource assessment of undiscovered porphyry copper resources in the Andes Mountains of South America: SEG (Society of Economic Geologists) Newsletter, no. 71, p. 1, 8–13.  

Márquez, M., y Godeas, M.C., 1999, Las mineralizaciones cupro-molibdeníferas del Bajo de la Leona, Santa Cruz, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 845–850."
Bajo  de  San  Lucas,,,Argentina,AGTN,Catamarca,-27.4,-66.55,7,7,,0,0,0,0,17,0,20c (2),n.d.,325,-27,-24,,-66,-33,,"biotite, chalcopyrite, chlorite, delafossite, epidote, gypsum, hematite, magnetite, malachite, molybdenite, pyrite, sericite","dacite porphyry, monzonite porphyry",n.d.,"andesite, granite, diorite porphyry, metasedimentary rocks, phyllite, sandstone, schist",1975,n.d.,0,0,0,2.7,2,4.2,0,0,0,"Reported grades range from 0.05 to 0.26% Cu, ≤0.35 g/t Au, 1.65 to 2.5 g/t Ag. Farallon Negro volcanic region","Alderete, M.C., 1999, Bajo de San Lucas, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1471–1473. 

Koukharsky, M., and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwestern Argentina: Economic Geology, v. 71, p. 849–863.

Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18.

Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinian Andes: Economic Geology, v. 72, p. 99–109.

"
Bajo  El  Durazno,,,Argentina,AGTN,Catamarca ,-27.2833333333333,-66.5666666666667,8,8,200,0.32,0,0.12,0,17,0,"20c (2), 25c (2)",n.d.,321,-27,-17,,-66,-34,,"biotite, bornite, calcite, chalcopyrite, chlorite, delafossite, galena, gold, malachite, magnetite, molybdenite, pyrite, siderite, sphalerite, tetrahedrite/tennantite","breccia, andesite porphyry","dacite porphyry, monzonite porphyry","agglomerate, andesite, andesite breccia, basalt",1976,n.d.,0,0,0,3,2.3,5.4,0,0,0,10% of the deposit area is covered by alluvium. Farallon Negro volcanic region.,"Alderete, M.C., 1999, Bajo el Durazno, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1463–1466. 

Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 35–68.

Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18.

Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinian Andes: Economic Geology, v. 72, p. 99–109.

"
Betito,,"La Borita, Fenix, Guaayracocha",Argentina,AGTN,Catamarca,-26.3,-67.9,14,Miocene ?,,0,0,0,0,17,0,n.d.,n.d.,319,-26,-18,,-67,-54,,"atacamite, azurite/malachite, lavendulan [NaCaCu5(AsO4)4Cl.5H2O], phosgenite [Pb2Cl2(CO3)]",n.d.,n.d.,"argillite, limestone, tuffaceous sandstone, siltstone, tuff ",n.d.,n.d.,0,0,0,0,0,0,0,0,0,"Resources of 1.17 Mt at 1% Cu, 0.95% Pb, and 0.17% Zn.","Godeas, M., Cardo, R., Carrizo, R., Zuloeta, C.G., Gonzales, R., Jr., Korzeniewski, L.I., Lopez, H., Mallimacci, H., Martinez, L. Ramallo, E., Valladares,H., and Zubia, M., 1999, Inventario de yasimentos y manifestaciones de minerales metaliferos e industriales de la Republica Argentina, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1979–2172.

Zappettini, E., Miranda-Angles, V., Rodrigez, C., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, R., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L., Mpodozis, C., Carpio, M., Rubiolo, D., 2001, Mapa metallógenico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14oS y 28oS) Servicio Nacional de Geología y Mínera – Chile, Publicatión Geologica Multinacional, no. 2, 222 p., 1 mapa escala 1,000,000. "
Campana  Mahuida,,,Argentina,AGTN,Neuquén,-38.25,-70.5833333333333,74,74,194,0.49,0,0.098,0,17,0,22c,n.d.,337,-38,-15,,-70,-35,,"biotite, bornite, calcite, chalcocite, chalcopyrite, chlorite, covellite, chrysocolla, delafossite, epidote, goethite/limonite, hematite/specularite, illite, jarosite, molybdenite, montmorillonite/smectite, pyrite, pyrrhotite, sericite, tenorite, tetrahedrite","andesite porphyry, dacite porphyry, skarn","diorite, granodiorite, granodiorite porphyry","metasedimentary rocks, hornfels",1966,1999 ?,0,0,0,0,0,0,3,2,4.7,"Reserves of 1994: oxidized zone, 31 Mt at 0.4% Cu and 0.14 g/t Au; secondary enrichment zone, 11 Mt at 0.6% Cu and 0.03 g/t Au; sulfide ore, 71 Mt at 0.38% Cu and 0.09 g/t Au. 60% of the deposit area is covered by gravel.","Chabert, M.R., and Zannetini, J.C.M., 1999, Porfíro cuprífero Campana Mahuida, Neuquén, in Zappettini, E.O., ed., Recursos minerales de la República Argentina: Instituto de Geología y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1279–1288. 

Franchini, M., Impiccini, A., Meinert, L., Grathoff, G., and Schalamuk, I.B.A., 2007, Clay mineralogy and zonation in the Campana Mahuida porphyry Cu deposit, Neuquén, Argentina: implications for porphyry Cu exploration: Economic Geology, v. 102, p. 27–54. 

Hollister, V.F., 1978, Geology of the porphyry copper deposits of the Western Hemisphere: New York, American Institute of Mining and Metallurgical Engineers, 219 p.

Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 35–68.

Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109."
