id,lon,lat,age
1,-164.246108,65.326404,109
2,-147.35,65.066667,91
3,-147.35,65.066667,86
4,-147.360785,64.99686,105
5,-163.695169,64.894955,109
6,-147.99295,64.86266,90
7,-144.902842,64.451884,90
8,-138.077589,64.335043,77
9,-157.05,64.13333333,75
10,-135.842247,64.032608,77
11,-138.924848,63.871216,175
12,-138.924848,63.871216,140
13,-138.924848,63.871216,135
14,-138.924848,63.871216,130
15,-136.232955,63.782922,77
16,-137.27048,63.781653,77
17,-141.3236111,63.52083333,69
18,-149.80281,63.04958,69
19,-138.8291667,62.73611111,73
20,-142.8419444,62.20583333,105
21,-141.2119444,62.11055556,111
22,-158.203427,62.036044,74
23,-158.203427,62.036044,69
24,-145.211862,61.817172,66
25,-146.354057,61.131193,56
26,-146.354057,61.131193,51
27,-149.160023,60.952931,56
28,-149.160023,60.952931,51
29,-149.53108,60.879901,56
30,-149.53108,60.879901,51
31,-148.008274,60.85437,56
32,-148.008274,60.85437,51
33,-149.37008,60.485022,56
34,-149.37008,60.485022,51
35,-154.315,60.35305556,62
36,-154.315,60.35305556,57
37,-155.2955556,59.89833333,69
38,-133.683333,59.566667,171
39,-150.665802,59.362934,56
40,-150.665802,59.362934,51
41,-129.816895,59.28215,140
42,-129.816895,59.28215,135
43,-129.816895,59.28215,130
44,-135.081667,58.864722,55
45,-129.1666667,58.5,186
46,-134.582026,58.371459,55
47,-134.38358,58.270539,55
48,-135.89759,57.855685,56
49,-135.89759,57.855685,51
50,-133.429733,57.795973,55
51,-129.7833333,57.7,210
52,-129.7833333,57.7,205
53,-129.7833333,57.7,200
54,-129.7833333,57.7,195
55,-131,57.35,220
56,-131.45,57.125,208
57,-131.345,57.11666667,212
58,-126.7575,57.06166667,202
59,-126.7488889,57.00611111,201
60,-131.0925,56.66666667,195
61,-131.1333333,56.66666667,195
62,-131.08511,56.66647,195
63,-158.4,56.51666667,4
64,-130.25,56.5,194
65,-130.2666667,56.46666667,194
66,-125.4311111,55.92694444,182
67,-125.4311111,55.92694444,177
68,-125.4311111,55.92694444,172
69,-125.4311111,55.92694444,167
70,-125.4311111,55.92694444,162
71,-125.5333333,55.91666667,176
72,-160.6669444,55.625,7
73,-125.3,55.5,121
74,-124.5436111,55.26305556,181
75,-126.1663889,55.24777778,50
76,-126.3188889,55.18722222,50
77,-124.0666667,55.13333333,186
78,-126.2247222,55.00277778,53
79,-126.1566667,54.94638889,51
80,-126.8944444,54.80972222,55
81,-126.8944444,54.80972222,50
82,-126.3333333,54.75,78
83,-124.5,54.45,164
84,-126.9666667,54.01666667,74
85,-127.3666667,53.80361111,50
86,-127.2083333,53.75,83
87,-127.1666667,53.68333333,82
88,-127.2333333,53.53333333,86
89,-127.05,53.06722222,84
90,-121.5833333,52.5,202
91,-122.2666667,52.5,215
92,-122.2666667,52.5,210
93,-122.2666667,52.5,205
94,-123.455362,52.40318,140
95,-123.6166667,51.45,79
96,-122.6,51.13333333,57
97,-123.45,51.08333333,85
98,-121.4216667,50.92333333,61
99,-122.780393,50.758131,70
100,-122.780393,50.758131,89
101,-127.8583333,50.675,170
102,-120.5116667,50.66027778,206
103,-120.4,50.6,206
104,-127.4777778,50.6,171
105,-120.9966667,50.49416667,200
106,-121.0333333,50.48333333,201
107,-121.0333333,50.48333333,196
108,-121.0333333,50.48333333,191
109,-121.0438889,50.45,202
110,-121.0438889,50.45,197
111,-121.0438889,50.45,192
112,-117.3666667,49.88333333,183
113,-120.0055556,49.87777778,143
114,-120.5552778,49.34027778,199
115,-118.6,49,200
116,-120.3819444,48.61472222,89
117,-120.9791667,48.19777778,21
118,-121.5036111,48.00861111,28
119,-121.6363889,47.6775,18
120,-121.3666667,47.5,25
121,-112.36,47.02583333,46
122,-122.0808333,46.35638889,17
123,-112.5263889,46.02027778,63
124,-112.5263889,46.02027778,58
125,-115.436854,45.824277,78
126,-115.436854,45.824277,73
127,-115.436854,45.824277,68
128,-115.699523,45.619424,78
129,-115.699523,45.619424,73
130,-115.699523,45.619424,68
131,-115.33761,44.928797,78
132,-115.33761,44.928797,73
133,-115.33761,44.928797,68
134,-109.6013889,44.03,29
135,-109.6830556,44.02888889,40
136,-116.171556,43.554708,78
137,-116.171556,43.554708,73
138,-116.171556,43.554708,68
139,-109.28,43.09,40
140,-111.3333333,43.08333333,50
141,-117.54128,41.79268,16
142,-114.7669444,41.76694444,150
143,-118.0524,41.3338,15
144,-116.80095,41.24379,16
145,-117.9843,40.81656,3
146,-122.638171,40.699654,147
147,-122.638171,40.699654,136
148,-117.0833333,40.6875,38
149,-122.69832,40.65679,9
150,-111.4,40.625,33
151,-117.0361111,40.61194444,86
152,-116.68393,40.5999,16
153,-117.1169444,40.55611111,38
154,-112.14,40.54,39
155,-112.14,40.54,34
156,-117.2166667,40.41666667,89
157,-117.75,40.26666667,29
158,-120.8538889,40.195,100
159,-112.125,39.85805556,36
160,-120.842929,39.468403,143
161,-120.842929,39.468403,125
162,-120.842929,39.468403,120
163,-120.842929,39.468403,115
164,-120.842929,39.468403,110
165,-121.231337,39.409799,143
166,-121.231337,39.409799,125
167,-121.231337,39.409799,120
168,-121.231337,39.409799,115
169,-121.231337,39.409799,110
170,-119.6177,39.2666,14
171,-114.9994444,39.26,110
172,-121.054817,39.219861,143
173,-121.054817,39.219861,125
174,-121.054817,39.219861,120
175,-121.054817,39.219861,115
176,-121.054817,39.219861,110
177,-115.48338,39.21803,11
178,-119.24,39.05,161
179,-119.2,38.98,167
180,-119.27,38.96,169
181,-122.3613,38.83705,2
182,-117.97066,38.74936,19
183,-117.07814,38.70382,27
184,-113.2997222,38.48055556,28
185,-117.5,38.33333333,207
186,-108.75507,38.30389,30
187,-117.21925,38.08327,20
188,-120.108267,38.003712,147
189,-120.108267,38.003712,136
190,-107.61234,37.89561,15
191,-106.92615,37.84912,26
192,-117.21421,37.67075,21
193,-106.59282,37.42585,23
194,-108.0880556,37.40694444,68
195,-116.79339,37.00716,10
196,-115.1333333,35.48333333,73
197,-114.15,35.36666667,73
198,-114.41771,35.10782,18
199,-113.17,34.58,71
200,-112.58,34.51,64
