# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
56.90,0.23,8.54,138.35,2.11
43.56,0.20,46.24,1207.98,2.33
56.29,0.23,8.54,196.95,2.09
43.56,0.22,46.24,1207.98,2.33
56.29,0.23,8.54,196.95,2.09
43.56,0.22,46.24,1207.98,2.33
55.68,0.23,8.54,345.29,2.07
43.56,0.22,46.24,1207.98,2.33
55.06,0.23,8.54,345.29,2.06
54.45,0.23,8.54,345.29,2.05
43.29,0.22,46.24,1207.98,2.33
54.45,0.23,8.54,345.29,2.05
43.29,0.22,46.24,1207.98,2.33
53.87,0.23,8.54,361.87,2.05
43.06,0.22,46.24,1207.98,2.34
53.25,0.22,8.54,361.87,2.04
45.96,0.22,46.24,1207.98,2.21
52.77,0.22,8.54,341.54,2.04
45.77,0.22,46.24,1207.98,2.22
52.77,0.22,8.54,341.54,2.04
45.57,0.22,46.24,1207.98,2.23
52.23,0.22,8.54,341.54,2.04
45.57,0.22,46.24,1207.98,2.23
51.62,0.22,8.54,341.54,2.04
45.40,0.22,46.24,1207.98,2.24
51.01,0.22,8.54,341.54,2.04
45.25,0.22,46.24,1207.98,2.25
51.01,0.22,8.54,341.54,2.04
45.08,0.22,46.24,1207.98,2.26
49.94,0.22,8.54,341.54,2.05
44.93,0.21,46.24,1207.98,2.27
48.82,0.21,8.54,341.54,2.08
44.79,0.21,46.24,1207.98,2.27
47.68,0.21,8.54,341.54,2.12
44.79,0.21,46.24,1207.98,2.27
46.55,0.21,8.54,329.59,2.18
44.66,0.21,46.24,1207.98,2.28
46.55,0.21,8.54,329.59,2.18
44.54,0.21,46.24,1207.98,2.28
45.40,0.21,8.54,329.59,2.24
44.33,0.19,8.54,329.59,2.29
44.40,0.21,46.24,1207.98,2.29
43.21,0.19,8.54,329.59,2.34
44.29,0.21,46.24,1207.98,2.30
42.09,0.19,8.54,329.59,2.36
44.20,0.21,46.24,1207.98,2.30
42.09,0.19,8.54,307.58,2.36
44.10,0.21,46.24,1207.98,2.30
40.98,0.18,8.54,307.58,2.38
44.10,0.21,46.24,1207.98,2.30
39.90,0.18,8.54,307.58,2.39
44.03,0.21,46.24,1207.98,2.31
38.79,0.18,8.54,307.58,2.39
43.97,0.21,46.24,1207.98,2.31
37.63,0.18,8.54,307.58,2.38
43.92,0.21,46.24,1207.98,2.31
39.12,0.18,8.54,307.58,2.39
43.88,0.21,46.24,1207.98,2.31
38.18,0.18,8.54,307.58,2.39
43.88,0.21,46.24,1207.98,2.31
37.16,0.17,8.54,307.58,2.38
43.85,0.21,46.24,1207.98,2.31
36.38,0.17,8.54,303.54,2.38
43.84,0.21,46.24,1207.98,2.31
35.59,0.17,8.54,303.54,2.37
43.83,0.21,46.24,1207.98,2.31
34.80,0.17,8.54,303.54,2.37
43.85,0.21,46.24,1207.98,2.31
34.80,0.17,8.54,303.54,2.37
43.86,0.21,46.24,1207.98,2.31
34.00,0.17,8.54,303.54,2.36
43.89,0.21,46.24,1207.98,2.31
33.24,0.16,8.54,303.54,2.36
43.89,0.21,46.24,1207.98,2.31
32.54,0.16,8.54,303.54,2.35
43.93,0.21,46.24,1207.98,2.31
31.54,0.16,8.54,303.54,2.34
43.98,0.21,46.24,1207.98,2.31
30.53,0.16,8.54,303.54,2.32
44.06,0.21,46.24,1207.98,2.31
29.37,0.15,8.54,303.54,2.31
44.12,0.21,46.24,1207.98,2.30
29.37,0.15,8.54,303.54,2.31
44.12,0.21,46.24,1207.98,2.30
27.75,0.15,8.54,303.54,2.28
44.21,0.21,46.24,1207.98,2.30
44.29,0.21,46.24,1207.98,2.30
25.12,0.14,8.54,303.54,2.23
44.38,0.21,46.24,1207.98,2.29
22.22,0.11,8.54,303.54,2.16
44.50,0.21,46.24,1207.98,2.29
17.72,0.10,8.54,303.54,2.06
44.63,0.21,46.24,1207.98,2.28
13.55,0.09,8.54,303.54,1.96
44.63,0.20,46.24,1207.98,2.28
13.25,0.09,8.54,303.54,1.95
44.76,0.21,46.24,1207.98,2.27
13.25,0.09,8.54,303.54,1.95
44.90,0.21,46.24,1207.98,2.27
12.06,0.08,8.54,428.67,1.93
45.06,0.21,46.24,1207.98,2.26
11.02,0.08,8.54,428.67,1.91
45.22,0.21,46.24,1207.98,2.25
10.13,0.08,8.54,428.67,1.89
45.40,0.21,46.24,1207.98,2.24
11.68,0.08,10.46,428.67,1.88
45.40,0.21,46.24,1207.98,2.24
12.88,0.04,10.46,428.67,1.91
12.88,0.09,10.46,428.67,1.91
45.56,0.21,46.24,1207.98,2.23
8.58,0.07,10.46,428.67,1.80
45.76,0.21,46.24,1207.98,2.22
8.08,0.07,10.46,428.67,1.78
45.96,0.21,46.24,1207.98,2.21
8.08,0.07,10.46,428.67,1.78
46.16,0.21,46.24,1207.98,2.20
7.60,0.07,10.46,438.87,1.75
7.18,0.07,10.46,438.87,1.72
46.37,0.21,46.24,1207.98,2.19
7.18,0.07,10.46,438.87,1.72
46.59,0.21,46.24,1207.98,2.18
6.73,0.07,10.46,438.87,1.69
46.83,0.21,46.24,1207.98,2.17
6.27,0.07,10.46,438.87,1.66
6.27,0.07,10.46,438.87,1.66
46.83,0.18,46.24,1207.98,2.17
4.00,0.06,10.46,438.87,1.47
47.07,0.18,46.24,1207.98,2.15
4.00,0.06,10.46,438.87,1.47
3.51,0.05,10.46,438.87,1.42
47.32,0.18,46.24,1207.98,2.14
3.51,0.05,10.46,438.87,1.42
47.57,0.18,46.24,1207.98,2.13
3.07,0.05,10.46,438.87,1.38
2.58,0.05,10.46,438.87,1.32
47.84,0.18,64.92,1207.98,2.12
2.58,0.05,10.46,438.87,1.32
0.12,0.01,33.23,438.87,0.64
50.65,0.18,54.72,106.66,2.04
0.12,0.01,33.23,438.87,0.64
1.29,0.03,33.23,438.87,1.09
50.91,0.18,30.73,106.66,2.04
1.29,0.03,33.23,438.87,1.09
1.29,0.02,33.23,438.87,1.09
50.91,0.18,30.73,106.66,2.04
2.29,0.03,33.23,438.87,1.29
2.29,0.04,33.23,438.87,1.29
51.17,0.18,26.82,106.66,2.04
5.61,0.07,33.23,438.87,1.61
6.38,0.07,33.23,438.87,1.67
51.45,0.18,24.09,106.66,2.04
6.38,0.07,33.23,438.87,1.67
7.17,0.08,33.17,438.87,1.72
51.73,0.18,21.56,106.66,2.04
7.17,0.08,33.17,438.87,1.72
7.98,0.08,33.17,438.87,1.77
52.03,0.18,27.87,106.66,2.04
7.98,0.08,33.17,438.87,1.77
10.23,0.09,33.17,438.87,1.87
52.34,0.18,32.93,106.66,2.04
10.23,0.09,33.17,438.87,1.87
10.23,0.10,33.17,438.87,1.87
10.79,0.10,33.17,438.87,1.89
52.65,0.18,32.41,106.66,2.04
10.79,0.10,33.17,438.87,1.89
10.79,0.10,33.17,438.87,1.89
52.98,0.19,32.45,106.66,2.04
17.14,0.10,33.17,438.87,1.99
17.14,0.10,33.17,438.87,1.99
53.31,0.19,32.88,106.66,2.04
14.20,0.09,33.17,438.87,1.99
14.20,0.09,33.17,438.87,1.99
53.31,0.18,32.88,106.66,2.04
22.74,0.11,33.17,438.87,2.18
53.65,0.18,32.88,106.66,2.04
22.74,0.12,33.17,438.87,2.18
25.96,0.12,33.17,639.79,2.24
54.00,0.18,32.88,106.66,2.05
25.96,0.12,33.17,639.79,2.24
30.58,0.13,33.17,639.79,2.33
54.35,0.18,32.88,106.66,2.05
30.58,0.14,33.17,639.79,2.33
31.43,0.14,33.17,639.79,2.34
54.71,0.18,32.88,106.66,2.06
31.43,0.14,33.17,639.79,2.34
32.25,0.14,33.17,639.79,2.35
55.08,0.18,32.88,106.66,2.06
32.25,0.14,33.17,639.79,2.35
33.10,0.14,33.17,639.79,2.35
55.45,0.18,32.88,106.66,2.07
33.10,0.14,33.17,639.79,2.35
34.33,0.15,33.17,639.79,2.37
55.82,0.18,32.88,106.66,2.08
35.19,0.12,33.17,639.79,2.37
35.19,0.12,33.17,639.79,2.37
56.21,0.18,32.88,106.66,2.09
36.05,0.13,33.17,639.79,2.38
36.05,0.13,33.17,639.79,2.38
56.21,0.18,32.88,106.66,2.09
36.90,0.13,33.17,639.79,2.38
36.90,0.13,33.17,639.79,2.38
56.60,0.19,32.88,106.66,2.10
37.94,0.13,33.17,639.79,2.39
37.94,0.13,33.17,639.79,2.39
56.99,0.19,32.88,106.66,2.12
39.08,0.13,33.17,639.79,2.39
40.70,0.14,33.17,639.79,2.38
57.39,0.19,32.88,106.66,2.13
40.70,0.14,33.17,639.79,2.38
41.79,0.14,32.13,639.79,2.37
57.80,0.19,32.88,106.66,2.15
41.79,0.14,32.13,639.79,2.37
42.91,0.14,32.13,639.79,2.35
58.21,0.19,32.88,106.66,2.17
42.91,0.14,32.13,639.79,2.35
44.02,0.14,32.13,639.79,2.31
44.02,0.11,32.13,639.79,2.31
58.63,0.19,32.88,106.66,2.20
44.02,0.11,32.13,639.79,2.31
46.49,0.11,32.13,639.79,2.18
58.63,0.19,32.88,106.66,2.20
46.49,0.11,32.13,639.79,2.18
47.62,0.11,32.13,639.79,2.13
58.63,0.19,32.88,106.66,2.20
47.62,0.11,32.13,639.79,2.13
48.75,0.11,32.13,639.79,2.08
58.63,0.19,18.05,106.66,2.20
48.75,0.12,32.13,639.79,2.08
49.88,0.12,32.13,639.79,2.05
58.64,0.19,18.05,106.66,2.20
49.88,0.12,32.13,639.79,2.05
51.04,0.12,32.13,639.79,2.04
59.12,0.19,18.05,106.66,2.23
51.04,0.12,32.13,639.79,2.04
51.04,0.05,32.13,639.79,2.04
59.60,0.19,18.05,106.66,2.26
51.86,0.05,32.13,639.79,2.04
52.69,0.05,32.13,639.79,2.04
59.60,0.19,18.05,106.66,2.26
53.54,0.05,32.13,639.79,2.04
60.09,0.19,18.05,120.13,2.29
53.54,0.05,32.13,639.79,2.04
54.38,0.05,32.13,639.79,2.05
60.58,0.19,18.05,120.13,2.32
54.38,0.05,32.13,639.79,2.05
55.23,0.05,32.13,639.79,2.06
60.58,0.18,18.05,120.13,2.32
55.23,0.05,32.13,639.79,2.06
56.08,0.06,32.13,639.79,2.08
60.58,0.18,18.05,120.13,2.32
56.08,0.06,32.13,639.79,2.08
56.90,0.06,32.13,639.79,2.11
60.58,0.18,18.05,120.13,2.32
56.90,0.06,32.13,639.79,2.11
60.58,0.18,18.05,120.13,2.32
57.75,0.06,32.13,639.79,2.15
57.75,0.06,32.13,639.79,2.15
60.58,0.18,18.05,120.13,2.32
58.59,0.06,32.13,639.79,2.20
58.59,0.06,32.13,639.79,2.20
62.33,0.19,18.05,120.13,2.39
59.44,0.06,32.13,639.79,2.25
59.44,0.06,32.13,639.79,2.25
62.33,0.19,18.05,120.13,2.39
60.25,0.06,32.13,143.96,2.30
60.25,0.06,32.13,143.96,2.30
62.89,0.19,18.05,120.13,2.40
62.13,0.06,32.13,143.96,2.39
62.89,0.20,6.17,120.13,2.40
62.13,0.06,32.13,143.96,2.39
62.93,0.06,32.13,143.96,2.40
62.89,0.20,6.17,120.13,2.40
62.93,0.06,32.13,143.96,2.40
62.93,0.07,32.13,143.96,2.40
62.89,0.22,6.17,120.13,2.40
64.21,0.00,32.13,143.96,2.40
62.89,0.22,6.17,120.13,2.40
64.21,0.00,32.13,143.96,2.40
62.89,0.22,6.17,120.13,2.40
65.77,0.00,32.13,143.96,2.36
65.77,0.00,32.13,143.96,2.36
62.89,0.22,6.17,120.13,2.40
65.77,0.00,32.13,143.96,2.36
62.89,0.22,6.17,120.13,2.40
65.77,0.00,32.13,143.96,2.36
64.95,0.22,6.17,120.13,2.39
70.29,0.23,32.13,145.36,2.33
71.30,0.24,32.13,145.36,2.36
71.30,0.24,32.13,145.36,2.36
71.30,0.22,32.13,145.36,2.36
70.29,0.25,32.13,145.36,2.33
71.30,0.22,32.13,145.36,2.36
71.30,0.22,32.13,145.36,2.36
70.29,0.25,32.13,143.96,2.33
71.30,0.26,32.13,145.36,2.36
72.12,0.26,32.13,145.36,2.38
70.29,0.25,32.13,143.96,2.33
65.77,0.00,32.13,143.96,2.36
70.29,0.24,32.13,143.96,2.33
72.12,0.24,32.13,145.36,2.38
70.29,0.24,32.13,143.96,2.33
70.29,0.24,32.13,143.96,2.33
72.12,0.24,32.13,145.36,2.38
70.29,0.24,32.13,143.96,2.33
65.77,0.23,32.13,143.96,2.36
72.12,0.26,32.13,145.36,2.38
90.07,0.30,49.49,103.84,2.68
72.12,0.26,32.13,145.36,2.38
90.07,0.31,49.49,103.84,2.68
90.07,0.30,49.49,103.84,2.68
72.79,0.14,32.13,145.36,2.40
90.07,0.30,49.49,103.84,2.68
89.82,0.31,49.49,103.84,2.68
64.95,0.22,6.17,120.13,2.39
90.07,0.30,49.49,103.84,2.68
72.79,0.14,32.13,145.36,2.40
89.82,0.31,49.49,103.84,2.68
90.32,0.30,49.49,103.84,2.68
75.65,0.26,31.96,159.79,2.45
75.65,0.25,31.96,159.79,2.45
75.65,0.26,31.96,159.79,2.45
90.32,0.30,49.49,103.84,2.68
75.65,0.25,31.96,145.36,2.45
76.35,0.26,22.29,159.79,2.45
89.82,0.31,49.49,103.84,2.68
72.79,0.20,32.13,145.36,2.40
76.35,0.26,22.29,159.79,2.45
90.32,0.30,49.49,103.84,2.68
75.65,0.25,31.96,145.36,2.45
76.35,0.27,22.29,159.79,2.45
76.35,0.27,22.29,159.79,2.45
90.32,0.30,49.49,103.84,2.68
74.93,0.25,31.96,145.36,2.44
89.82,0.31,49.49,103.84,2.68
90.32,0.30,49.49,103.84,2.68
74.93,0.25,31.96,145.36,2.44
76.35,0.28,22.29,159.79,2.45
72.79,0.20,32.13,145.36,2.40
74.21,0.28,31.96,145.36,2.43
74.93,0.25,31.96,145.36,2.44
90.55,0.30,49.49,103.84,2.69
74.93,0.25,31.96,145.36,2.44
89.82,0.31,49.49,103.84,2.68
74.93,0.25,31.96,145.36,2.44
74.21,0.23,31.96,145.36,2.43
74.93,0.25,31.96,145.36,2.44
74.21,0.28,31.96,145.36,2.43
91.70,0.30,49.49,103.84,2.69
74.21,0.25,31.96,145.36,2.43
74.21,0.25,31.96,145.36,2.43
76.35,0.28,22.29,159.79,2.45
91.70,0.30,49.49,103.84,2.69
89.82,0.31,49.49,103.84,2.68
72.79,0.20,32.13,145.36,2.40
91.70,0.30,49.49,103.84,2.69
74.21,0.23,31.96,145.36,2.43
91.70,0.30,49.49,103.84,2.69
77.03,0.28,22.29,159.79,2.46
89.56,0.31,49.49,103.84,2.68
72.79,0.22,32.13,145.36,2.40
91.70,0.30,49.49,103.84,2.69
91.93,0.30,49.49,103.84,2.69
72.79,0.22,32.13,145.36,2.40
73.49,0.26,31.96,145.36,2.42
73.49,0.27,31.96,145.36,2.42
89.56,0.31,49.49,103.84,2.68
77.03,0.28,22.29,159.79,2.46
73.49,0.23,31.96,145.36,2.42
91.93,0.30,49.49,103.84,2.69
73.49,0.22,32.13,145.36,2.42
73.49,0.26,31.96,145.36,2.42
73.49,0.27,31.96,145.36,2.42
64.95,0.22,6.17,120.13,2.39
91.93,0.27,49.49,103.84,2.69
89.56,0.31,49.49,103.84,2.68
77.03,0.28,22.29,159.79,2.46
77.03,0.20,22.06,160.34,2.46
91.93,0.27,49.49,103.84,2.69
89.56,0.32,49.49,103.84,2.68
77.03,0.20,22.06,160.34,2.46
91.93,0.27,49.49,103.84,2.69
79.53,0.20,22.06,160.34,2.47
90.43,0.32,49.49,103.84,2.68
92.16,0.27,49.49,103.84,2.69
79.53,0.23,22.06,160.34,2.47
90.43,0.32,49.49,103.84,2.68
92.16,0.27,49.49,103.84,2.69
79.53,0.23,21.88,160.34,2.47
92.16,0.27,49.49,103.84,2.69
79.53,0.23,21.88,160.34,2.47
90.43,0.32,49.49,103.84,2.68
64.95,0.22,6.17,120.13,2.39
92.16,0.27,50.73,103.84,2.69
79.53,0.23,21.88,160.34,2.47
90.43,0.32,49.49,103.84,2.68
92.16,0.27,50.73,103.84,2.69
79.53,0.23,21.88,160.34,2.47
93.36,0.27,50.73,103.84,2.70
90.43,0.32,49.49,103.84,2.68
79.53,0.23,21.88,160.34,2.47
92.97,0.27,50.73,103.84,2.70
90.43,0.32,49.49,103.84,2.68
80.24,0.26,21.88,160.34,2.47
92.97,0.27,50.73,103.84,2.70
80.24,0.26,21.88,160.34,2.47
64.95,0.22,6.17,120.13,2.39
92.97,0.26,50.73,103.84,2.70
91.30,0.32,49.49,103.84,2.69
80.24,0.26,21.88,160.34,2.47
92.97,0.26,50.73,103.84,2.70
91.30,0.32,49.49,103.84,2.69
92.97,0.26,50.73,103.84,2.70
80.24,0.26,21.88,160.34,2.47
92.97,0.26,50.73,103.84,2.70
91.30,0.32,49.49,103.84,2.69
80.24,0.26,21.88,160.34,2.47
82.79,0.23,21.88,160.34,2.51
92.11,0.26,50.73,103.84,2.69
91.30,0.31,22.80,103.84,2.69
82.79,0.24,21.88,160.34,2.51
92.11,0.26,50.73,103.84,2.69
64.95,0.22,6.17,120.13,2.39
82.79,0.24,21.88,160.34,2.51
82.79,0.24,21.88,160.34,2.51
92.11,0.26,50.73,103.84,2.69
91.30,0.31,22.80,159.54,2.69
82.79,0.24,21.88,160.34,2.51
92.11,0.26,50.73,103.84,2.69
82.79,0.20,21.88,160.34,2.51
92.11,0.29,50.73,103.84,2.69
91.30,0.31,22.80,159.54,2.69
92.02,0.29,50.73,103.84,2.69
92.02,0.29,50.73,103.84,2.69
92.02,0.29,50.73,103.84,2.69
91.01,0.31,22.80,159.54,2.69
82.79,0.20,21.88,160.34,2.51
92.02,0.29,50.73,103.84,2.69
92.02,0.29,50.73,103.84,2.69
64.95,0.22,21.84,120.13,2.39
91.01,0.31,22.80,159.54,2.69
92.02,0.13,50.73,103.84,2.69
86.67,0.21,21.88,160.34,2.62
91.01,0.31,22.80,159.54,2.69
91.20,0.13,50.73,103.84,2.69
86.67,0.21,21.88,160.34,2.62
91.01,0.31,22.80,159.54,2.69
91.20,0.13,50.73,103.84,2.69
64.95,0.24,21.84,120.13,2.39
86.67,0.21,21.88,160.34,2.62
91.01,0.31,22.80,159.54,2.69
91.20,0.13,50.73,103.84,2.69
86.67,0.21,21.88,160.34,2.62
91.01,0.31,22.80,160.34,2.69
91.20,0.13,50.73,103.84,2.69
91.01,0.31,22.80,160.34,2.69
66.81,0.24,21.84,120.13,2.33
86.67,0.21,21.88,160.34,2.62
91.96,0.13,50.73,103.84,2.69
90.24,0.31,22.80,160.34,2.68
86.67,0.21,21.88,160.34,2.62
90.24,0.31,21.88,160.34,2.68
91.96,0.20,50.73,103.84,2.69
90.24,0.31,21.88,160.34,2.68
91.96,0.20,50.73,103.84,2.69
87.65,0.25,21.88,160.34,2.64
90.24,0.31,21.88,160.34,2.68
66.81,0.24,21.84,120.13,2.33
91.96,0.20,88.32,103.84,2.69
87.65,0.25,21.88,160.34,2.64
92.23,0.31,21.88,160.34,2.70
91.96,0.20,88.32,84.11,2.69
92.23,0.31,21.88,160.34,2.70
87.65,0.25,21.88,160.34,2.64
92.23,0.31,21.88,160.34,2.70
91.15,0.20,98.27,78.29,2.69
87.65,0.25,21.88,160.34,2.64
92.23,0.31,21.88,160.34,2.70
91.15,0.21,98.27,83.32,2.69
66.81,0.24,21.84,120.13,2.33
87.65,0.25,21.88,160.34,2.64
92.23,0.31,21.88,160.34,2.70
91.92,0.21,98.27,83.32,2.69
92.23,0.31,21.88,160.34,2.70
87.65,0.25,21.88,160.34,2.64
91.92,0.21,98.27,83.32,2.69
92.23,0.31,21.88,160.34,2.70
91.92,0.21,98.27,83.32,2.69
88.57,0.25,21.88,160.34,2.66
92.23,0.31,21.88,160.34,2.70
66.81,0.24,21.84,120.13,2.33
91.92,0.16,98.27,83.32,2.69
88.57,0.25,21.88,160.34,2.66
92.23,0.31,21.88,160.34,2.70
92.23,0.25,21.88,160.34,2.70
91.13,0.16,98.27,83.32,2.69
92.23,0.31,21.88,160.34,2.70
91.13,0.16,98.27,83.32,2.69
66.81,0.20,21.84,120.13,2.33
91.13,0.16,98.27,83.32,2.69
91.13,0.16,98.27,83.32,2.69
91.91,0.16,98.27,83.32,2.69
91.91,0.16,98.27,83.32,2.69
66.81,0.20,21.84,120.13,2.33
91.91,0.16,110.93,83.32,2.69
91.91,0.16,110.93,83.32,2.69
91.91,0.16,110.93,83.32,2.69
66.81,0.20,21.84,120.13,2.33
91.14,0.16,110.93,83.32,2.69
91.14,0.16,110.93,83.32,2.69
91.14,0.16,110.93,83.32,2.69
91.14,0.23,110.93,83.32,2.69
66.81,0.20,21.84,120.13,2.33
91.14,0.23,110.93,83.32,2.69
91.16,0.23,110.93,83.32,2.69
91.16,0.23,110.93,83.32,2.69
91.16,0.23,110.93,83.32,2.69
68.29,0.21,21.84,120.13,2.30
91.16,0.23,56.19,83.32,2.69
91.16,0.23,56.19,83.32,2.69
91.16,0.23,56.19,83.32,2.69
91.16,0.23,56.19,83.32,2.69
91.16,0.23,56.19,83.32,2.69
68.29,0.21,21.84,120.13,2.30
90.40,0.29,56.19,74.50,2.68
90.40,0.29,56.19,74.50,2.68
90.40,0.29,56.19,74.50,2.68
90.40,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
90.46,0.29,56.19,74.50,2.68
89.72,0.29,43.13,74.50,2.68
89.72,0.29,43.13,74.50,2.68
89.72,0.29,43.13,74.50,2.68
89.72,0.27,43.13,74.50,2.68
68.29,0.21,21.84,120.13,2.30
89.72,0.27,43.13,74.50,2.68
88.99,0.27,43.13,74.50,2.67
88.99,0.27,43.13,74.50,2.67
88.99,0.27,43.13,74.50,2.67
88.99,0.27,43.13,74.50,2.67
88.99,0.26,43.13,74.50,2.67
88.99,0.26,43.13,74.50,2.67
89.08,0.26,43.13,74.50,2.67
89.08,0.26,43.13,74.50,2.67
68.29,0.21,21.84,120.13,2.30
89.08,0.26,43.13,74.50,2.67
89.08,0.26,43.13,74.50,2.67
89.08,0.23,43.13,74.50,2.67
