# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.330135,24.809006,219.948929,2.264262
0.342886,13.090810,251.012741,2.338385
0.330292,24.809006,219.948929,2.264262
0.340970,13.090810,249.415878,2.318636
0.338945,13.090810,250.464859,2.298357
0.330444,24.809006,219.948929,2.264262
0.336885,13.090810,249.560516,2.280439
0.330593,24.809006,219.948929,2.264262
0.334794,13.090810,250.011322,2.267905
0.331561,24.809006,219.948929,2.266260
0.332611,13.090810,250.011322,2.263919
0.332682,24.809006,219.948929,2.271137
0.330419,13.090810,250.011322,2.269669
0.336309,24.809006,230.620010,2.304354
0.328171,13.090810,250.011322,2.284575
0.340373,24.809006,219.948929,2.351039
0.327872,13.090810,250.011322,2.284575
0.335505,24.809006,219.948929,2.292096
0.325549,13.090810,250.011322,2.306829
0.385802,13.090810,250.011322,2.329134
0.332838,24.809006,219.948929,2.268949
0.382976,13.090810,250.011322,2.349078
0.333021,24.809006,219.948929,2.269288
0.380148,13.090810,250.011322,2.360996
0.333188,24.809006,219.948929,2.269558
0.376941,13.090810,250.011322,2.361218
0.333366,24.809006,219.948929,2.269929
0.373099,13.090810,250.011322,2.338718
0.324726,24.809006,219.948929,2.270376
0.372771,13.090810,251.784485,2.338718
0.324894,24.809006,219.948929,2.270806
0.369974,13.090810,251.784485,2.310182
0.325116,24.809006,219.948929,2.271627
0.367124,13.090810,251.784485,2.272253
0.364232,13.090810,251.784485,2.228689
0.325314,24.809006,219.948929,2.272339
0.367786,13.090810,251.784485,2.294394
0.325511,25.448498,219.948929,2.273099
0.365772,13.090810,251.784485,2.267939
0.325757,25.933414,219.948929,2.274282
0.363867,13.090810,251.784485,2.242376
0.325975,25.933414,219.948929,2.275322
0.362016,13.090810,277.680969,2.208906
0.326221,25.933414,219.948929,2.276720
0.360239,13.090810,277.680969,2.188086
0.326445,25.933414,219.948929,2.277890
0.358132,13.090810,277.680969,2.167473
0.326708,25.933414,219.948929,2.279498
0.356853,13.090810,277.680969,2.149083
0.313857,25.933414,219.948929,2.281126
0.356489,13.090810,277.680969,2.149083
0.357459,13.090810,277.680969,2.183796
0.314113,25.933414,230.620010,2.282945
0.360649,13.090810,277.680969,2.222316
0.314363,25.933414,219.948929,2.284776
0.357802,13.090810,277.680969,2.186302
0.314641,25.933414,219.948929,2.287044
0.355237,13.090810,277.680969,2.146879
0.314906,25.933414,230.620010,2.289279
0.352712,13.090810,277.680969,2.112995
0.315196,25.933414,219.948929,2.291970
0.353633,13.090810,277.680969,2.083652
0.315487,25.933414,219.948929,2.294817
0.351026,13.090810,289.539215,2.058448
0.315770,25.933414,219.948929,2.297689
0.348413,13.090810,289.539215,2.038535
0.316071,25.933414,219.948929,2.300916
0.345850,13.090810,289.539215,2.023745
0.310841,25.933414,219.948929,2.304418
0.343290,13.090810,289.539215,2.012499
0.311153,25.933414,230.620010,2.307869
0.340658,13.090810,289.539215,2.004194
0.311439,25.933414,219.948929,2.311291
0.337935,13.090810,289.539215,1.997625
0.311764,25.933414,219.948929,2.315028
0.337535,13.090810,289.539215,1.997625
0.334951,13.090810,289.539215,1.993228
0.312086,25.933414,219.948929,2.318914
0.332322,13.090810,289.539215,1.990097
0.312409,25.933414,219.948929,2.322941
0.329554,13.090810,289.539215,1.988515
0.312752,25.933414,219.948929,2.327290
0.326828,13.090810,289.539215,1.988740
0.313090,25.933414,230.620010,2.331613
0.330321,13.090810,289.539215,1.989742
0.313434,25.933414,230.620010,2.336022
0.337023,13.090810,289.539215,2.002924
0.313780,25.933414,219.948929,2.340328
0.338870,13.090810,289.539215,2.011276
0.314129,25.933414,219.948929,2.344631
0.338830,13.090810,289.539215,2.013119
0.314477,25.933414,219.948929,2.348934
0.337960,13.090810,289.539215,2.011174
0.314844,25.933414,219.948929,2.353375
0.336157,13.090810,289.539215,2.005910
0.291367,25.933414,219.948929,2.357701
0.333122,13.090810,289.539215,1.998175
0.245463,25.933414,230.620010,2.362031
0.328530,13.090810,289.539215,1.990643
0.245752,25.933414,219.948929,2.366233
0.322140,13.090810,289.539215,1.989492
0.246040,25.933414,219.948929,2.370254
0.321698,13.090810,289.539215,1.989492
0.246318,25.933414,219.948929,2.374066
0.313494,13.090810,289.539215,2.017821
0.246609,25.933414,219.948929,2.377867
0.299095,13.090810,289.539215,2.171437
0.246897,25.933414,230.620010,2.381490
0.245961,13.090810,289.539215,2.294569
0.247191,25.933414,230.289276,2.385008
0.245633,13.090810,289.539215,2.295744
0.247164,25.933414,230.289276,2.385008
0.282923,13.090810,245.736496,1.999132
0.246389,13.841639,289.539215,2.296679
0.244553,25.933414,230.620010,2.388348
0.281503,13.841639,245.736496,1.997443
0.248893,13.841639,289.539215,2.294327
0.244848,23.858120,230.620010,2.391555
0.280161,13.841639,245.736496,1.996259
0.251337,13.841639,289.539215,2.295382
0.245136,23.858120,230.620010,2.394517
0.279300,13.841639,245.736496,1.996259
0.239104,13.841639,289.539215,2.286274
0.245434,23.858120,230.620010,2.397371
0.277937,13.841639,257.310944,1.995044
0.246807,13.841639,289.539215,2.302408
0.271432,13.841639,257.310944,1.988335
0.245729,23.858120,230.289276,2.400040
0.270354,13.841639,257.310944,1.988379
0.249471,13.841639,289.539215,2.304600
0.246026,23.858120,230.289276,2.402577
0.269500,13.841639,257.310944,1.988379
0.253487,13.841639,289.539215,2.283064
0.311439,13.841639,257.310944,1.988485
0.200416,23.858120,230.620010,2.404947
0.314844,13.841639,257.310944,1.989829
0.200645,23.858120,230.289276,2.407127
0.328959,13.841639,257.310944,2.057786
0.200875,23.858120,230.289276,2.409166
0.328069,13.841639,257.310944,2.057786
0.326623,13.841639,257.310944,2.052053
0.201105,23.858120,230.620010,2.411089
0.325056,13.841639,257.310944,2.045544
0.201334,23.858120,230.289276,2.412931
0.324157,13.841639,257.310944,2.045544
0.291471,13.841639,257.310944,2.074940
0.201564,23.858120,230.620010,2.414627
0.290654,13.841639,257.310944,2.074940
0.291575,13.841639,257.310944,2.057099
0.201792,23.858120,230.620010,2.416193
